,0
0,1
1,0
2,1
3,0
4,1
5,1
6,0
7,1
8,1
9,1
10,1
11,0
12,1
13,1
14,0
15,1
16,0
17,1
18,1
19,0
20,0
21,0
22,0
23,1
24,1
25,1
26,0
27,0
28,1
29,1
30,0
31,1
32,1
33,1
34,1
35,0
36,1
37,0
38,1
39,1
40,0
41,0
42,0
43,1
44,0
45,0
46,0
47,0
48,1
49,1
50,1
51,1
52,0
53,0
54,1
55,1
56,1
57,0
58,1
59,0
60,0
61,0
62,1
63,1
64,1
65,1
66,1
67,0
68,1
69,1
70,1
71,0
72,0
73,1
74,1
75,1
76,0
77,1
78,0
79,0
80,0
81,1
82,0
83,0
84,0
85,0
86,0
87,1
88,1
89,1
90,1
91,0
92,1
93,0
94,0
95,0
96,0
97,0
98,0
99,1
100,1
101,1
102,0
103,1
104,0
105,0
106,1
107,1
108,0
109,0
110,1
111,0
112,1
113,1
114,1
115,0
116,0
117,1
118,0
119,1
120,0
121,1
122,1
123,1
124,1
125,0
126,1
127,0
128,0
129,1
130,0
131,1
132,1
133,0
134,1
135,1
136,1
137,1
138,1
139,0
140,1
141,1
142,0
143,0
144,1
145,1
146,1
147,0
148,0
149,0
150,1
151,1
152,0
153,0
154,0
155,1
156,0
157,0
158,1
159,1
160,0
161,1
162,0
163,1
164,1
165,0
166,1
167,0
168,0
169,0
170,0
171,1
172,1
173,1
174,1
175,1
176,1
177,1
178,1
179,1
180,1
181,1
182,0
183,1
184,1
185,1
186,1
187,1
188,0
189,0
190,1
191,0
192,1
193,1
194,0
195,0
196,1
197,1
198,0
199,0
200,1
201,0
202,1
203,1
204,0
205,1
206,1
207,1
208,0
209,0
210,0
211,1
212,0
213,0
214,0
215,1
216,1
217,1
218,0
219,1
220,1
221,0
222,1
223,1
224,0
225,1
226,1
227,0
228,0
229,1
230,1
231,1
232,0
233,0
234,0
235,1
236,0
237,1
238,1
239,0
240,0
241,0
242,0
243,1
244,0
245,0
246,1
247,0
248,1
249,1
250,0
251,0
252,0
253,0
254,1
255,0
256,0
257,1
258,1
259,1
260,0
261,1
262,0
263,1
264,0
265,1
266,0
267,1
268,1
269,1
270,1
271,0
272,1
273,1
274,0
275,0
276,1
277,0
278,0
279,0
280,1
281,1
282,0
283,1
284,1
285,1
286,1
287,1
288,1
289,1
290,1
291,0
292,0
293,1
294,1
295,1
296,1
297,1
298,1
299,0
300,1
301,1
302,0
303,1
304,1
305,0
306,1
307,1
308,0
309,1
310,1
311,0
312,1
313,0
314,1
315,0
316,1
317,0
318,0
319,1
320,1
321,1
322,1
323,0
324,1
325,1
326,1
327,1
328,0
329,1
330,1
331,0
332,0
333,0
334,1
335,0
336,0
337,1
338,0
339,1
340,0
341,1
342,1
343,1
344,0
345,1
346,1
347,0
348,1
349,1
350,1
351,1
352,1
353,1
354,0
355,1
356,0
357,0
358,1
359,0
360,0
361,1
362,0
363,0
364,1
365,0
366,1
367,1
368,1
369,0
370,1
371,1
372,1
373,1
374,1
375,1
376,1
377,1
378,0
379,0
380,1
381,1
382,1
383,1
384,1
385,0
386,1
387,1
388,1
389,0
390,1
391,1
392,0
393,1
394,1
395,1
396,0
397,1
398,0
399,1
400,1
401,1
402,1
403,1
404,1
405,1
406,1
407,1
408,1
409,0
410,0
411,1
412,1
413,1
414,0
415,1
416,0
417,1
418,1
419,1
420,0
421,1
422,1
423,1
424,0
425,1
426,1
427,1
428,0
429,0
430,1
431,1
432,1
433,0
434,0
435,0
436,1
437,0
438,0
439,0
440,0
441,0
442,0
443,1
444,1
445,1
446,1
447,0
448,1
449,1
450,1
451,1
452,0
453,1
454,0
455,0
456,0
457,1
458,1
459,0
460,1
461,0
462,1
463,0
464,1
465,1
466,1
467,1
468,0
469,1
470,1
471,1
472,1
473,1
474,1
475,1
476,0
477,1
478,0
479,1
480,0
481,0
482,0
483,0
484,0
485,1
486,0
487,1
488,0
489,1
490,1
491,1
492,0
493,1
494,0
495,0
496,0
497,0
498,1
499,1
500,0
501,0
502,0
503,1
504,1
505,0
506,1
507,0
508,0
509,0
510,1
511,0
512,0
513,1
514,0
515,0
516,0
517,1
518,0
519,1
520,0
521,1
522,0
523,0
524,1
525,1
526,1
527,0
528,1
529,1
530,1
531,0
532,1
533,1
534,1
535,0
536,0
537,1
538,0
539,1
540,0
541,1
542,1
543,0
544,0
545,1
546,0
547,1
548,0
549,0
550,0
551,1
552,1
553,0
554,0
555,1
556,1
557,1
558,1
559,1
560,1
561,1
562,0
563,1
564,0
565,1
566,0
567,1
568,0
569,1
570,0
571,0
572,1
573,1
574,0
575,0
576,0
577,1
578,0
579,0
580,0
581,1
582,1
583,0
584,1
585,1
586,0
587,1
588,1
589,0
590,0
591,0
592,1
593,1
594,0
595,1
596,0
597,0
598,1
599,0
600,1
601,1
602,1
603,0
604,1
605,0
606,0
607,0
608,1
609,0
610,0
611,1
612,1
613,1
614,0
615,1
616,0
617,1
618,1
619,1
620,1
621,1
622,1
623,1
624,1
625,1
626,1
627,1
628,1
629,1
630,1
631,1
632,1
633,1
634,0
635,0
636,0
637,0
638,1
639,0
640,1
641,1
642,0
643,1
644,1
645,0
646,1
647,1
648,0
649,1
650,1
651,0
652,1
653,0
654,0
655,0
656,1
657,1
658,1
659,0
660,1
661,0
662,0
663,0
664,0
665,1
666,1
667,1
668,1
669,0
670,0
671,0
672,1
673,1
674,0
675,1
676,0
677,0
678,1
679,1
680,0
681,1
682,1
683,0
684,1
685,1
686,0
687,1
688,0
689,1
690,1
691,1
692,1
693,1
694,1
695,1
696,1
697,1
698,0
699,0
700,1
701,0
702,1
703,0
704,1
705,0
706,0
707,1
708,1
709,0
710,1
711,0
712,1
713,1
714,0
715,1
716,0
717,1
718,0
719,0
720,1
721,1
722,0
723,1
724,1
725,1
726,1
727,1
728,1
729,1
730,1
731,0
732,1
733,0
734,1
735,0
736,1
737,0
738,1
739,1
740,1
741,0
742,1
743,1
744,1
745,0
746,0
747,1
748,1
749,1
750,0
751,0
752,1
753,1
754,1
755,1
756,1
757,1
758,1
759,1
760,1
761,0
762,1
763,1
764,0
765,1
766,0
767,0
768,0
769,1
770,1
771,0
772,1
773,1
774,1
775,1
776,0
777,0
778,0
779,0
780,1
781,1
782,1
783,0
784,0
785,1
786,1
787,1
788,1
789,0
790,1
791,1
792,0
793,1
794,1
795,0
796,0
797,1
798,1
799,0
800,1
801,0
802,0
803,1
804,0
805,1
806,1
807,1
808,0
809,0
810,0
811,1
812,1
813,1
814,0
815,1
816,1
817,0
818,1
819,0
820,1
821,1
822,0
823,1
824,1
825,0
826,0
827,0
828,0
829,1
830,0
831,0
832,1
833,0
834,1
835,1
836,1
837,0
838,0
839,1
840,0
841,0
842,0
843,0
844,1
845,1
846,0
847,1
848,0
849,0
850,1
851,1
852,1
853,1
854,1
855,0
856,0
857,1
858,1
859,0
860,0
861,1
862,1
863,1
864,0
865,1
866,0
867,1
868,1
869,1
870,1
871,1
872,1
873,1
874,0
875,1
876,1
877,1
878,0
879,1
880,0
881,0
882,0
883,0
884,0
885,0
886,0
887,1
888,1
889,1
890,0
891,1
892,0
893,0
894,0
895,1
896,1
897,0
898,0
899,1
900,1
901,1
902,0
903,1
904,0
905,0
906,1
907,0
908,0
909,0
910,1
911,1
912,0
913,1
914,1
915,1
916,0
917,0
918,1
919,1
920,0
921,1
922,0
923,1
924,1
925,1
926,1
927,0
928,1
929,1
930,1
931,1
932,0
933,1
934,0
935,0
936,1
937,0
938,0
939,1
940,0
941,0
942,1
943,1
944,0
945,0
946,1
947,1
948,0
949,1
950,1
951,1
952,1
953,0
954,0
955,1
956,1
957,0
958,0
959,0
960,0
961,0
962,0
963,0
964,0
965,0
966,0
967,1
968,1
969,0
970,1
971,1
972,0
973,1
974,0
975,0
976,0
977,1
978,0
979,1
980,0
981,1
982,0
983,0
984,1
985,0
986,0
987,1
988,0
989,1
990,0
991,1
992,1
993,1
994,1
995,1
996,1
997,0
998,0
999,1
1000,1
1001,0
1002,0
